	Feature ID	S10-V5-Q-B61-calc	S14-V5-P-B17-calc	S15-V5-R-B78-calc	S16S17-V5-K1-G12-root	S16S17-V5-K2-G12-root	S18S19-V5-L-B17-root	S20S21-V5-M-B61-root	S22S23-V5-N-B78-root	S8-V5-O-G12-calc	Taxon
91	1809ca8d94c9de6f602a4eacf7f6ce7f	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae; g__Capnocytophaga_820690; s__Capnocytophaga granulosa
92	978f17cb6fb8298cc04e26e849d0e0fd	35.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
93	2d9b0ca521f76d711b1282aebda5aa42	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__GWC2-71-9; g__HRBIN33; s__
94	746c5fc7fff07e6e580bfb4fedb91fdc	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales
95	6f8e401f2bbe49af777524a85987d61f	0.0	0.0	0.0	59.0	41.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A
96	5a55766eb8920820629137071ac517d8	0.0	0.0	0.0	0.0	0.0	17.0	0.0	81.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Tissierellales; f__Sporanaerobacteraceae; g__Anaerosalibacter
97	c111fe2e769ab434d1d5abf3715a8d7a	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727
98	8ade8b4a71b02770a8f31b2cd1af2cbe	0.0	0.0	0.0	49.0	47.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
99	972335de0c7212067fd949f9f182af51	16.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales_993521; f__Fusobacteriaceae_993521; g__Fusobacterium_C
100	01163ae276883077496b0631e7d382bf	0.0	0.0	0.0	30.0	38.0	27.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597433; f__SG8-39; g__SCGC-AG-212-J23; s__SCGC-AG-212-J23 sp005881595
101	11daa23d36cf116086316a40e39abe6b	0.0	0.0	0.0	0.0	0.0	57.0	0.0	37.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504721; f__Methyloligellaceae; g__Methyloceanibacter
102	3382786c7b5377edc8c42bc54f791d57	0.0	0.0	0.0	0.0	0.0	32.0	61.0	0.0	0.0	d__Bacteria; p__Actinobacteriota
103	7eeea19903760d81496c7b10196c7b72	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597433; f__SG8-39; g__SCGC-AG-212-J23; s__SCGC-AG-212-J23 sp005881595
104	f202c989335ea39a0953539dfdd6c6e4	30.0	48.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__Cardiobacterium valvarum
105	5a056f93b213e182bbb6e2c11167cb92	13.0	24.0	16.0	0.0	0.0	0.0	0.0	0.0	39.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Arachnia
106	19c32de31ab525449bd2a28e43966bed	0.0	0.0	0.0	42.0	45.0	0.0	0.0	5.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Flavobacteriaceae
107	c86316f23549939cd05c165c931b67d9	37.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Megasphaeraceae; g__Megasphaera_A_38565
108	28df8ca6fe71eb0443869c181a5b3ae3	0.0	0.0	0.0	42.0	48.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A
